SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-26-2023,Townhouse,5338 Pooks Hill Rd #303,Bethesda,MD,20814,518000,2,2,BETHESDA OVERLOOK,1152,,1958,,450,287,Sold,,,https://www.redfin.com/MD/Bethesda/5338-Pooks-Hill-Rd-20814/unit-303/home/10685906,BRIGHT MLS,MDMC2090224,N,Y,39.0148379,-77.1073105
PAST SALE,August-9-2023,Townhouse,4924 Bradley Blvd #239,Chevy Chase,MD,20815,885000,3,2.5,KENWOOD FOREST II,1422,,1951,,622,497,Sold,,,https://www.redfin.com/MD/Chevy-Chase/4924-Bradley-Blvd-20815/unit-239/home/10695652,BRIGHT MLS,MDMC2099126,N,Y,38.9775313,-77.0963985
PAST SALE,September-25-2023,Single Family Residential,10003 Fernwood Rd,Bethesda,MD,20817,1025000,4,3.5,FERNWOOD,2712,11139,1962,,378,,Sold,,,https://www.redfin.com/MD/Bethesda/10003-Fernwood-Rd-20817/home/10672179,BRIGHT MLS,MDMC2103170,N,Y,39.0203563,-77.1342025
PAST SALE,July-18-2023,Single Family Residential,9202 Ewing Dr,Bethesda,MD,20817,2050000,5,4.5,ALTA VISTA TERRACE,5100,6600,2023,,402,,Sold,,,https://www.redfin.com/MD/Bethesda/9202-Ewing-Dr-20817/home/10677700,BRIGHT MLS,MDMC2090798,N,Y,39.0061978,-77.1236851
PAST SALE,May-16-2023,Single Family Residential,5618 Wood Way,Bethesda,MD,20816,1355000,3,4.5,SUMNER,2760,6854,1950,,491,,Sold,,,https://www.redfin.com/MD/Bethesda/5618-Wood-Way-20816/home/10666326,BRIGHT MLS,MDMC2088432,N,Y,38.9559368,-77.1144704
PAST SALE,August-18-2023,Single Family Residential,9906 Pomona Dr,Bethesda,MD,20817,950000,4,3,ASHBURTON,1885,8400,1958,,504,,Sold,,,https://www.redfin.com/MD/Bethesda/9906-Pomona-Dr-20817/home/10670384,BRIGHT MLS,MDMC2096484,N,Y,39.0179471,-77.1260898
PAST SALE,September-27-2023,Single Family Residential,6404 Bannockburn Dr,Bethesda,MD,20817,910000,3,3,BANNOCKBURN COOP,1675,11394,1958,,543,,Sold,,,https://www.redfin.com/MD/Bethesda/6404-Bannockburn-Dr-20817/home/10678301,BRIGHT MLS,MDMC2100276,N,Y,38.975386,-77.1395957
PAST SALE,August-22-2023,Townhouse,4842 Montgomery Ln,Bethesda,MD,20814,1700000,4,3.5,EDGEMOOR,2483,954,1998,,685,310,Sold,,,https://www.redfin.com/MD/Bethesda/4842-Montgomery-Ln-20814/home/10701581,BRIGHT MLS,MDMC2101662,N,Y,38.9830391,-77.0976124
PAST SALE,September-29-2023,Single Family Residential,10026 Clue Dr,Bethesda,MD,20817,925000,4,3,MARYMOUNT,1896,6652,1955,,488,,Sold,,,https://www.redfin.com/MD/Bethesda/10026-Clue-Dr-20817/home/10675640,BRIGHT MLS,MDMC2105228,N,Y,39.0220977,-77.1268334
PAST SALE,May-1-2023,Single Family Residential,6408 Highland Dr,Chevy Chase,MD,20815,6450000,6,8,KENWOOD,10050,21438,1942,,642,,Sold,,,https://www.redfin.com/MD/Chevy-Chase/6408-Highland-Dr-20815/home/10701243,BRIGHT MLS,MDMC2086630,N,Y,38.9727972,-77.1103348
PAST SALE,June-23-2023,Single Family Residential,8606 Bradmoor Dr,Bethesda,MD,20817,2435000,7,5.5,BRADMOOR,5763,8526,2023,,423,,Sold,,,https://www.redfin.com/MD/Bethesda/8606-Bradmoor-Dr-20817/home/10662058,BRIGHT MLS,MDMC2090302,N,Y,38.9971488,-77.1194599
PAST SALE,August-31-2023,Single Family Residential,6407 W Halbert Rd,Bethesda,MD,20817,2225000,5,4.5,BANNOCKBURN COOP,4690,8489,2023,,474,,Sold,,,https://www.redfin.com/MD/Bethesda/6407-W-Halbert-Rd-20817/home/10678422,BRIGHT MLS,MDMC2098068,N,Y,38.9743387,-77.1417079
PAST SALE,June-16-2023,Single Family Residential,6603 Braeburn Pkwy,Bethesda,MD,20817,2800000,6,6.5,BANNOCKBURN HEIGHTS,9809,63980,2000,,285,,Sold,,,https://www.redfin.com/MD/Bethesda/6603-Braeburn-Pkwy-20817/home/10679243,BRIGHT MLS,MDMC2091824,N,Y,38.9803645,-77.1348092
PAST SALE,June-16-2023,Single Family Residential,5607 Pioneer Ln,Bethesda,MD,20816,1420000,4,2.5,SUMNER,2645,8019,1953,,537,,Sold,,,https://www.redfin.com/MD/Bethesda/5607-Pioneer-Ln-20816/home/10666711,BRIGHT MLS,MDMC2088056,N,Y,38.9536456,-77.1140658
PAST SALE,May-8-2023,Townhouse,5818 Madaket Rd,Bethesda,MD,20816,1950818,4,3.5,BROOKMONT,4304,3945,1988,,453,650,Sold,,,https://www.redfin.com/MD/Bethesda/5818-Madaket-Rd-20816/home/10697782,BRIGHT MLS,MDMC2089208,N,Y,38.9442009,-77.1182013
PAST SALE,June-20-2023,Single Family Residential,4829 Drummond Ave,Chevy Chase,MD,20815,2500000,5,4.5,WEST CHEVY CHASE,4807,11400,2012,,520,,Sold,,,https://www.redfin.com/MD/Chevy-Chase/4829-Drummond-Ave-20815/home/44618023,BRIGHT MLS,MDMC2085902,N,Y,38.9708392,-77.0976798
PAST SALE,August-25-2023,Single Family Residential,6214 Wagner Ln,Bethesda,MD,20816,1510000,4,3,FAIRWAY HILLS,3446,6900,2005,,438,,Sold,,,https://www.redfin.com/MD/Bethesda/6214-Wagner-Ln-20816/home/10671832,BRIGHT MLS,MDMC2099212,N,Y,38.9716721,-77.1408091
PAST SALE,July-21-2023,Single Family Residential,110 Lucas Ln,Bethesda,MD,20814,1200000,3,3,GLENBROOK KNOLLS,2523,5206,1934,,476,,Sold,,,https://www.redfin.com/MD/Bethesda/110-Lucas-Ln-20814/home/10647138,BRIGHT MLS,MDMC2095136,N,Y,38.9928036,-77.1049852
PAST SALE,June-12-2023,Single Family Residential,8409 Lilly Stone Dr,Bethesda,MD,20817,1400000,4,3,CARDEROCK SPRINGS,2716,15009,1965,,515,,Sold,,,https://www.redfin.com/MD/Bethesda/8409-Lilly-Stone-Dr-20817/home/10888936,BRIGHT MLS,MDMC2088580,N,Y,38.9858542,-77.1730728
PAST SALE,July-13-2023,Single Family Residential,4809 Fort Sumner Dr,Bethesda,MD,20816,2425000,5,5.5,SUMNER,4192,21830,1965,,578,,Sold,,,https://www.redfin.com/MD/Bethesda/4809-Fort-Sumner-Dr-20816/home/10666167,BRIGHT MLS,MDMC2097630,N,Y,38.9518381,-77.1135039
