SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-23-2023,Townhouse,940 Ships Bell Ct,Annapolis,MD,21401,377000,2,2.0,HERITAGE HARBOUR,1182,2400,1983,,319,160,Sold,,,https://www.redfin.com/MD/Annapolis/940-Ships-Bell-Ct-21401/home/10078611,BRIGHT MLS,MDAA2058382,N,Y,38.9748205,-76.5972448
PAST SALE,June-23-2023,Single Family Residential,569 Pinedale Dr,Annapolis,MD,21401,665500,3,2.5,NORTH RIVER FOREST,1759,43560,1984,,378,16,Sold,,,https://www.redfin.com/MD/Annapolis/569-Pinedale-Dr-21401/home/10034640,BRIGHT MLS,MDAA2060964,N,Y,38.984681,-76.596658
PAST SALE,October-25-2023,Single Family Residential,209 Broad Oaks Ln,Annapolis,MD,21401,660000,4,3.0,BROAD OAK ESTATES,2003,20735,2002,,330,,Sold,,,https://www.redfin.com/MD/Annapolis/209-Broad-Oaks-Ln-21401/home/10474184,BRIGHT MLS,MDAA2069694,N,Y,38.9865888,-76.5872685
PAST SALE,June-20-2023,Townhouse,228 Wintergull Ln,Annapolis,MD,21409,520000,3,3.0,WOODS LANDING,2004,2479,1999,,259,86,Sold,,,https://www.redfin.com/MD/Annapolis/228-Wintergull-Ln-21409/home/10312775,BRIGHT MLS,MDAA2060314,N,Y,39.0319883,-76.4371244
PAST SALE,June-21-2023,Single Family Residential,1650 Homewood Rd,Annapolis,MD,21409,825000,3,2.5,AMBERLEY,2304,30000,1963,,358,,Sold,,,https://www.redfin.com/MD/Annapolis/1650-Homewood-Rd-21409/home/10134401,BRIGHT MLS,MDAA2058940,N,Y,39.016597,-76.4398814
PAST SALE,May-18-2023,Single Family Residential,1139 Skyway Dr,Annapolis,MD,21409,549450,4,2.0,CAPE ST CLAIRE,1782,9000,1976,,308,,Sold,,,https://www.redfin.com/MD/Annapolis/1139-Skyway-Dr-21409/home/10189108,BRIGHT MLS,MDAA2058046,N,Y,39.0448919,-76.4363561
PAST SALE,May-8-2023,Single Family Residential,308 Cedar Ln,Annapolis,MD,21403,641000,3,2.0,HILLSMERE ESTATES,2065,11550,1969,,310,,Sold,,,https://www.redfin.com/MD/Annapolis/308-Cedar-Ln-21403/home/10014639,BRIGHT MLS,MDAA2057770,N,Y,38.9422772,-76.491574
PAST SALE,August-31-2023,Single Family Residential,23 Goodrich Rd,Annapolis,MD,21401,935000,6,3.5,ADMIRAL HEIGHTS,3126,10018,1956,,299,,Sold,,,https://www.redfin.com/MD/Annapolis/23-Goodrich-Rd-21401/home/10442218,BRIGHT MLS,MDAA2064422,N,Y,38.9852611,-76.5160125
PAST SALE,,Other,205 Meadowgate Dr,Annapolis,MD,21409,860000,,2.5,,2634,14460,1972,,326,,,,,https://www.redfin.com/MD/Annapolis/205-Meadowgate-Dr-21409/home/10239600,,,N,Y,39.0108154,-76.4831709
PAST SALE,June-9-2023,Single Family Residential,1411 Catlyn Pl,Annapolis,MD,21401,622000,5,3.5,HERITAGE,2156,13940,1968,,288,,Sold,,,https://www.redfin.com/MD/Annapolis/1411-Catlyn-Pl-21401/home/10448873,BRIGHT MLS,MDAA2056370,N,Y,38.9720917,-76.5190839
PAST SALE,May-9-2023,Single Family Residential,1426 Brenwoode Rd,Annapolis,MD,21409,602000,4,3.0,BRENWOODE OF ST MARGARET,2390,8931,1994,,252,,Sold,,,https://www.redfin.com/MD/Annapolis/1426-Brenwoode-Rd-21409/home/10173667,BRIGHT MLS,MDAA2056662,N,Y,39.0266215,-76.4740442
PAST SALE,June-8-2023,Single Family Residential,495 Tulip Rd,Annapolis,MD,21403,905000,4,2.5,WILD ROSE SHORES,2396,41181,1986,,378,,Sold,,,https://www.redfin.com/MD/Annapolis/495-Tulip-Rd-21403/home/10098254,BRIGHT MLS,MDAA2057998,N,Y,38.9506932,-76.529359
PAST SALE,August-29-2023,Townhouse,50-G Ironstone Ct Unit G,Annapolis,MD,21403,327000,3,2.5,ANNAPOLIS OVERLOOK,1694,,1998,,193,277,Sold,,,https://www.redfin.com/MD/Annapolis/50-Ironstone-Ct-21403/unit-G/home/10443686,BRIGHT MLS,MDAA2066268,N,Y,38.952893,-76.5055027
PAST SALE,July-28-2023,Townhouse,611 Puritan Ct,Annapolis,MD,21401,460000,3,3.5,WINDGATE CONDO,1734,743,1996,,265,117,Sold,,,https://www.redfin.com/MD/Annapolis/611-Puritan-Ct-21401/home/10100217,BRIGHT MLS,MDAA2063428,N,Y,38.9965892,-76.5235502
PAST SALE,June-16-2023,Single Family Residential,625 Sean Dr,Annapolis,MD,21401,1100000,5,3.0,WOODLORE,4320,28456,1985,,255,,Sold,,,https://www.redfin.com/MD/Annapolis/625-Sean-Dr-21401/home/10102178,BRIGHT MLS,MDAA2060458,N,Y,38.9996456,-76.5508752
PAST SALE,May-31-2023,Single Family Residential,507 Schley Rd,Annapolis,MD,21401,675000,3,3.0,ADMIRAL HEIGHTS,2662,13503,1986,,254,,Sold,,,https://www.redfin.com/MD/Annapolis/507-Schley-Rd-21401/home/10442822,BRIGHT MLS,MDAA2058720,N,Y,38.9879155,-76.5075999
PAST SALE,July-28-2023,Single Family Residential,607 Creek View Ave,Annapolis,MD,21403,3000000,3,2.5,REGULARS,2382,7120,1923,,1259,,Sold,,,https://www.redfin.com/MD/Annapolis/607-Creek-View-Ave-21403/home/10432789,BRIGHT MLS,MDAA2063846,N,Y,38.9667699,-76.4822377
